fid,districtID,districtID_old,nameID,district_en,provinceID,province_bahasa,province_en,islandID,island_bahasa,island_en,district_bahasa,underweight_2024,severe_wasting_2024,wasting_2024,overweight_2024,stunting_2013,stunting_2018,stunting_2024
316,6102,6102,bengkayang,Bengkayang,61,Kalimantan Barat,West Kalimantan,6,Kalimantan,Kalimantan,Bengkayang,21.5,3.5,8.1,7.8,33.35,31.9,23.4
317,6103,6103,landak,Landak,61,Kalimantan Barat,West Kalimantan,6,Kalimantan,Kalimantan,Landak,23.4,2.2,9.1,4.2,32.69,42,28.6
318,6104,6104,mempawah,Mempawah,61,Kalimantan Barat,West Kalimantan,6,Kalimantan,Kalimantan,Mempawah,25.5,1.6,10.4,2.8,39.72,33.4,28.6
319,6105,6105,sanggau,Sanggau,61,Kalimantan Barat,West Kalimantan,6,Kalimantan,Kalimantan,Sanggau,21.7,4.3,7.7,5.8,43.23,31.9,21.3
320,6106,6106,ketapang,Ketapang,61,Kalimantan Barat,West Kalimantan,6,Kalimantan,Kalimantan,Ketapang,17.3,1,4.9,5.2,34.83,42.7,17.9
321,6107,6107,sintang,Sintang,61,Kalimantan Barat,West Kalimantan,6,Kalimantan,Kalimantan,Sintang,26.2,3.2,8.8,3.9,47.71,33.2,31
322,6108,6108,kapuashulu,Kapuas Hulu,61,Kalimantan Barat,West Kalimantan,6,Kalimantan,Kalimantan,Kapuas Hulu,21.8,3,10.6,4,36.8,40.6,23.6
323,6109,6109,sekadau,Sekadau,61,Kalimantan Barat,West Kalimantan,6,Kalimantan,Kalimantan,Sekadau,21.4,2.7,12.6,2.6,46.13,28.7,14.4
324,6110,6110,melawi,Melawi,61,Kalimantan Barat,West Kalimantan,6,Kalimantan,Kalimantan,Melawi,27.4,3.1,10.8,2.8,27.81,40.8,35.2
325,6111,6111,kayongutara,North Kayong,61,Kalimantan Barat,West Kalimantan,6,Kalimantan,Kalimantan,Kayong Utara,24.8,2.9,9.9,5.1,47.27,33.4,23.8
326,6112,6112,kuburaya,Kubu Raya,61,Kalimantan Barat,West Kalimantan,6,Kalimantan,Kalimantan,Kubu Raya,24.1,1.2,6,4.3,39.65,24.8,30.2
327,6171,6171,kotapontianak,Pontianak City,61,Kalimantan Barat,West Kalimantan,6,Kalimantan,Kalimantan,Kota Pontianak,17.5,1.4,6.8,5.2,27.12,22.3,22.3
328,6172,6172,kotasingkawang,Singkawang City,61,Kalimantan Barat,West Kalimantan,6,Kalimantan,Kalimantan,Kota Singkawang,22.7,2.6,11,2,31.55,26.6,21.9
329,6201,6201,kotawaringinbarat,West Kotawaringin,62,Kalimantan Tengah,Central Kalimantan ,6,Kalimantan,Kalimantan,Kotawaringin Barat,11.3,0.5,5.5,8.2,39.73,22.1,16.5
330,6202,6202,kotawaringintimur,East Kotawaringin,62,Kalimantan Tengah,Central Kalimantan ,6,Kalimantan,Kalimantan,Kotawaringin Timur,20.9,1.1,6,5.9,36.88,48.8,21.6
331,6203,6203,kapuas,Kapuas,62,Kalimantan Tengah,Central Kalimantan ,6,Kalimantan,Kalimantan,Kapuas,20.2,1.9,7.8,3.6,45.16,41.5,22.5
332,6204,6204,baritoselatan,South Barito,62,Kalimantan Tengah,Central Kalimantan ,6,Kalimantan,Kalimantan,Barito Selatan,25.8,1.1,7.5,4.3,46.35,40.2,33.3
333,6205,6205,baritoutara,North Barito,62,Kalimantan Tengah,Central Kalimantan ,6,Kalimantan,Kalimantan,Barito Utara,12.1,0.3,3.3,6.8,41.99,34.6,20.4
334,6206,6206,sukamara,Sukamara,62,Kalimantan Tengah,Central Kalimantan ,6,Kalimantan,Kalimantan,Sukamara,18.8,0.9,8.1,8,40.94,24.9,20
335,6207,6207,lamandau,Lamandau,62,Kalimantan Tengah,Central Kalimantan ,6,Kalimantan,Kalimantan,Lamandau,15.2,1.5,6.8,7.6,25.24,28.3,18.3
336,6208,6208,seruyan,Seruyan,62,Kalimantan Tengah,Central Kalimantan ,6,Kalimantan,Kalimantan,Seruyan,25.4,1.1,7.2,6.9,30.43,21.8,32.2
337,6209,6209,katingan,Katingan,62,Kalimantan Tengah,Central Kalimantan ,6,Kalimantan,Kalimantan,Katingan,21.9,2.7,9.8,4.2,47.64,33.3,19.6
338,6210,6210,pulangpisau,Pulang Pisau,62,Kalimantan Tengah,Central Kalimantan ,6,Kalimantan,Kalimantan,Pulang Pisau,24.6,3.8,8.8,6.8,46.05,32.1,27.9
339,6211,6211,gunungmas,Gunung Mas,62,Kalimantan Tengah,Central Kalimantan ,6,Kalimantan,Kalimantan,Gunung Mas,14.8,2.3,7.3,4,44.37,38.2,14.1
340,6212,6212,baritotimur,East Barito,62,Kalimantan Tengah,Central Kalimantan ,6,Kalimantan,Kalimantan,Barito Timur,21,2.2,8.3,5.5,54.84,42.1,21.7
341,6213,6213,murungraya,Murung Raya,62,Kalimantan Tengah,Central Kalimantan ,6,Kalimantan,Kalimantan,Murung Raya,13,0.7,4.2,5.1,41.02,30.8,15.8
342,6271,6271,kotapalangkaraya,Palangka Raya City,62,Kalimantan Tengah,Central Kalimantan ,6,Kalimantan,Kalimantan,Kota Palangka Raya,20.8,0.8,6.9,4.4,40.32,22.9,19.1
343,6301,6301,tanahlaut,Tanah Laut,63,Kalimantan Selatan,South Kalimantan,6,Kalimantan,Kalimantan,Tanah Laut,24.1,1.5,6.8,5.6,39.85,33.2,22.5
344,6302,6302,kotabaru,Kotabaru,63,Kalimantan Selatan,South Kalimantan,6,Kalimantan,Kalimantan,Kota Baru,20.8,2.2,6.9,6.3,47.88,28.6,23.2
345,6303,6303,banjar,Banjar,63,Kalimantan Selatan,South Kalimantan,6,Kalimantan,Kalimantan,Banjar,28.8,2.4,12.2,3.1,48.15,33.4,32.3
346,6304,6304,baritokuala,Barito Kuala,63,Kalimantan Selatan,South Kalimantan,6,Kalimantan,Kalimantan,Barito Kuala,18.8,1.3,9.4,4.6,47.64,34.1,16.5
347,6305,6305,tapin,Tapin,63,Kalimantan Selatan,South Kalimantan,6,Kalimantan,Kalimantan,Tapin,16.8,2.1,8.3,2.8,45.32,36,13.2
348,6306,6306,hulusungaiselatan,South Hulu Sungai,63,Kalimantan Selatan,South Kalimantan,6,Kalimantan,Kalimantan,Hulu Sungai Selatan,19.7,1.8,7.7,2.7,49.85,35.1,19.8
349,6307,6307,hulusungaitengah,Central Hulu Sungai,63,Kalimantan Selatan,South Kalimantan,6,Kalimantan,Kalimantan,Hulu Sungai Tengah,17.3,1.3,6.3,3.2,51.71,32.4,19.6
350,6308,6308,hulusungaiutara,North Hulu Sungai,63,Kalimantan Selatan,South Kalimantan,6,Kalimantan,Kalimantan,Hulu Sungai Utara,30.3,0.4,10.6,2.5,56.03,37.7,27.6
351,6309,6309,tabalong,Tabalong,63,Kalimantan Selatan,South Kalimantan,6,Kalimantan,Kalimantan,Tabalong,19.4,1.8,7.6,3.7,44.64,39.6,23.1
352,6310,6310,tanahbumbu,Tanah Bumbu,63,Kalimantan Selatan,South Kalimantan,6,Kalimantan,Kalimantan,Tanah Bumbu,17.9,1.7,5.6,6.1,44.93,28.6,21.6
353,6311,6311,balangan,Balangan,63,Kalimantan Selatan,South Kalimantan,6,Kalimantan,Kalimantan,Balangan,16.6,0.5,5.9,3.1,42.65,36.2,16
354,6371,6371,kotabanjarmasin,Banjarmasin City,63,Kalimantan Selatan,South Kalimantan,6,Kalimantan,Kalimantan,Kota Banjarmasin,25,2.5,13.3,4.8,35.79,28.8,26.5
355,6372,6372,kotabanjarbaru,Banjar Baru City,63,Kalimantan Selatan,South Kalimantan,6,Kalimantan,Kalimantan,Kota Banjar Baru,17.9,0.8,7.1,4.3,34.03,39.7,15.4
356,6401,6401,paser,Paser,64,Kalimantan Timur,East Kalimantan,6,Kalimantan,Kalimantan,Paser,22.1,1.5,10.9,5.5,25.47,27.5,23.4
357,6402,6402,kutaibarat,West Kutai,64,Kalimantan Timur,East Kalimantan,6,Kalimantan,Kalimantan,Kutai Barat,20,1.9,5.9,7.4,30.72,30,27.6
358,6403,6403,kutaikartanegara,Kutai Kartanegara,64,Kalimantan Timur,East Kalimantan,6,Kalimantan,Kalimantan,Kutai Kartanegara,12.3,1.5,7.7,5.5,26.09,35.7,14.3
359,6404,6404,kutaitimur,East Kutai,64,Kalimantan Timur,East Kalimantan,6,Kalimantan,Kalimantan,Kutai Timur,17.6,1.8,7,4.4,28.37,30.4,26.9
360,6405,6405,berau,Berau,64,Kalimantan Timur,East Kalimantan,6,Kalimantan,Kalimantan,Berau,20.1,3.4,7.5,3.9,21.67,31.7,23.4
361,6409,6409,penajampaserutara,North Penajam Paser,64,Kalimantan Timur,East Kalimantan,6,Kalimantan,Kalimantan,Penajam Paser Utara,25.7,2,8.8,5.4,34.63,31.6,32
362,6411,6411,mahakamulu,Mahakam Ulu,64,Kalimantan Timur,East Kalimantan,6,Kalimantan,Kalimantan,Mahakam Ulu,13.9,0.7,4.5,6.9,30.72,32.8,23.2
363,6471,6471,kotabalikpapan,Balikpapan City,64,Kalimantan Timur,East Kalimantan,6,Kalimantan,Kalimantan,Kota Balikpapan,21.3,1.6,7.8,4.4,21.03,23.8,24.8
364,6472,6472,kotasamarinda,Samarinda City,64,Kalimantan Timur,East Kalimantan,6,Kalimantan,Kalimantan,Kota Samarinda,17,3.2,9.6,4.9,24.92,26.3,20.3
365,6474,6474,kotabontang,Bontang City,64,Kalimantan Timur,East Kalimantan,6,Kalimantan,Kalimantan,Kota Bontang,18.5,1.9,4.6,2.1,32.41,26.6,20.7
366,6501,6501,malinau,Malinau,65,Kalimantan Utara,North Kalimantan,6,Kalimantan,Kalimantan,Malinau,22.1,1.2,6.4,5.5,40.27,24.6,26
367,6502,6502,bulungan,Bulungan,65,Kalimantan Utara,North Kalimantan,6,Kalimantan,Kalimantan,Bulungan,13.9,0.9,5.5,4.7,35.15,31.2,15.9
368,6503,6503,tanatidung,Tana Tidung,65,Kalimantan Utara,North Kalimantan,6,Kalimantan,Kalimantan,Tana Tidung,12.3,0.7,5.1,5.5,19.97,37.6,7.4
369,6504,6504,nunukan,Nunukan,65,Kalimantan Utara,North Kalimantan,6,Kalimantan,Kalimantan,Nunukan,17.6,1.1,1.1,4.4,35.19,30.5,21.7
370,6571,6571,kotatarakan,Tarakan City,65,Kalimantan Utara,North Kalimantan,6,Kalimantan,Kalimantan,Kota Tarakan,20.1,2,6.5,3.9,36.35,22,12.6
371,7101,7101,bolaangmongondow,Bolaang Mongondow,71,Sulawesi Utara,North Sulawesi,7,Sulawesi,Sulawesi,Bolaang Mongondow,19.1,2.7,7.1,2.8,43.82,28.9,19.3
372,7102,7102,minahasa,Minahasa,71,Sulawesi Utara,North Sulawesi,7,Sulawesi,Sulawesi,Minahasa,8.6,1.2,3.6,5.1,35.51,20.1,19.4
373,7103,7103,kepulauansangihe,Sangihe Islands,71,Sulawesi Utara,North Sulawesi,7,Sulawesi,Sulawesi,Kepulauan Sangihe,19,3.8,9.7,6.2,35.6,23,24.2
374,7104,7104,kepulauantalaud,Talaud Islands,71,Sulawesi Utara,North Sulawesi,7,Sulawesi,Sulawesi,Kepulauan Talaud,8.1,0.8,5.7,2.9,31.71,23.6,11.6
375,7105,7105,minahasaselatan,South Minahasa,71,Sulawesi Utara,North Sulawesi,7,Sulawesi,Sulawesi,Minahasa Selatan,14.7,1.2,4.4,8.2,26.86,26.1,28.1
376,7106,7106,minahasautara,North Minahasa,71,Sulawesi Utara,North Sulawesi,7,Sulawesi,Sulawesi,Minahasa Utara,13.7,2.3,7.3,4.4,31.17,35.4,18.9
377,7107,7107,bolaangmongondowutara,North Bolaang Mongondow,71,Sulawesi Utara,North Sulawesi,7,Sulawesi,Sulawesi,Bolaang Mongondow Utara,31.9,4.4,15.3,2.1,56.66,22.2,26.3
378,7108,7108,siautagulandangbiaro,Siau Tagulandang Biaro Islands,71,Sulawesi Utara,North Sulawesi,7,Sulawesi,Sulawesi,Siau Tagulandang Biaro,16.1,1.8,5.8,3.1,38.45,19.5,19.9
379,7109,7109,minahasatenggara,Southeast Minahasa,71,Sulawesi Utara,North Sulawesi,7,Sulawesi,Sulawesi,Minahasa Tenggara,16.2,2,8.1,2.8,41.72,28,21.9
380,7110,7110,bolaangmongondowselatan,South Bolaang Mongondow,71,Sulawesi Utara,North Sulawesi,7,Sulawesi,Sulawesi,Bolaang Mongondow Selatan,22.4,4.7,8,4.4,47.88,33.3,23.6
381,7111,7111,bolaangmongondowtimur,East Bolaang Mongondow,71,Sulawesi Utara,North Sulawesi,7,Sulawesi,Sulawesi,Bolaang Mongondow Timur,18.3,2.2,8.7,3.7,44.41,26.3,18.8
382,7171,7171,kotamanado,Manado City,71,Sulawesi Utara,North Sulawesi,7,Sulawesi,Sulawesi,Kota Manado,14.1,1.5,6.7,3.5,34.93,19.8,18.8
383,7172,7172,kotabitung,Bitung City,71,Sulawesi Utara,North Sulawesi,7,Sulawesi,Sulawesi,Kota Bitung,17.3,3.3,7.6,7,19.33,30,25.1
384,7173,7173,kotatomohon,Tomohon City,71,Sulawesi Utara,North Sulawesi,7,Sulawesi,Sulawesi,Kota Tomohon,5.1,0.6,1.1,5,27.16,19.2,10.8
385,7174,7174,kotakotamobagu,Kotamobagu City,71,Sulawesi Utara,North Sulawesi,7,Sulawesi,Sulawesi,Kota Kotamobagu,16.1,2.2,5.4,3.8,38.1,29,23.1
386,7201,7201,banggaikepulauan,Banggai Islands,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Banggai Kepulauan,27.2,3.4,12.7,0.9,51.64,40.5,28.4
387,7202,7202,banggai,Banggai,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Banggai,21.7,1.5,8.3,2,35.39,31.9,28.7
388,7203,7203,morowali,Morowali,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Morowali,18.5,0.7,7.8,2.5,49.38,34.8,22.6
389,7204,7204,poso,Poso,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Poso,17.1,0.8,4,2.8,39.37,26.2,21.1
390,7205,7205,donggala,Donggala,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Donggala,28.4,1.9,10.5,2.9,39.13,36,29.6
391,7206,7206,tolitoli,Tolitoli,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Toli-Toli,24,2.1,9,2.6,39.59,31.7,26.9
392,7207,7207,buol,Buol,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Buol,30.1,2.5,11.6,2.7,49.74,34.2,36.9
393,7208,7208,parigimoutong,Parigi Moutong,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Parigi Moutong,22,5.7,8.7,4.3,42.52,33.7,22.3
394,7209,7209,tojounauna,Tojo Una-Una,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Tojo Una-Una,27.3,2.9,10.7,2.3,41.83,26.2,16.5
395,7210,7210,sigi,Sigi,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Sigi,30.8,2.5,8.5,1.4,37.47,43,33
396,7211,7211,banggailaut,Banggai Laut,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Banggai Laut,28.7,2,11.2,1.6,51.64,34.2,26.6
397,7212,7212,morowaliutara,North Morowali,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Morowali Utara,21.1,2.2,6.4,2.5,49.38,28.5,20.4
398,7271,7271,kotapalu,Palu City,72,Sulawesi Tengah,Central Sulawesi,7,Sulawesi,Sulawesi,Kota Palu,23.6,2.4,7.8,2.7,35.58,24.1,25.6
399,7301,7301,kepulauanselayar,Selayar Islands,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Kepulauan Selayar,23.7,1.8,11.7,4.6,40.74,46,25.7
400,7302,7302,bulukumba,Bulukumba,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Bulukumba,22.2,1.6,8.4,2.1,42.99,36.2,25.2
401,7303,7303,bantaeng,Bantaeng,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Bantaeng,23.7,1.2,9,1.8,42.2,21,24.3
402,7304,7304,jeneponto,Jeneponto,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Jeneponto,26.1,1,6.4,2.5,40.53,41.3,37
403,7305,7305,takalar,Takalar,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Takalar,22.1,2,8,2,44.95,40.6,24
404,7306,7306,gowa,Gowa,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Gowa,14.2,0.2,5.9,3.9,44.73,44.5,17
405,7307,7307,sinjai,Sinjai,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Sinjai,23.1,1.5,6.9,2.5,41.56,42.2,28.6
406,7308,7308,maros,Maros,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Maros,21.6,1.5,6.8,2.9,37.9,34.9,22.4
407,7309,7309,pangkajenedankepulauan,Pangkajene Islands,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Pangkajene dan Kepulauan,24,0.5,8.7,2,45.99,50.5,25.2
408,7310,7310,barru,Barru,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Barru,25.2,1.5,8.6,2,35.41,34.1,26.9
409,7311,7311,bone,Bone,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Bone,23.2,1.9,7,5.1,43.65,37.3,26
410,7312,7312,soppeng,Soppeng,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Soppeng,22.6,1.6,8.7,3.9,30.53,35.5,26.6
411,7313,7313,wajo,Wajo,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Wajo,25.1,2.4,10.8,3,32.48,32.2,20.5
412,7314,7314,sidenrengrappang,Sidenreng Rappang,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Sidenreng Rappang,15.5,0.7,5,3.8,34.52,31.7,20.3
413,7315,7315,pinrang,Pinrang,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Pinrang,21.2,1.9,7.8,3.1,51.81,43.6,22.2
414,7316,7316,enrekang,Enrekang,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Enrekang,17.4,0.8,3.6,1.7,53.73,42.7,34.3
415,7317,7317,luwu,Luwu,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Luwu,20.3,1.5,6.9,2.8,46.58,30.3,23.6
416,7318,7318,tanatoraja,Tana Toraja,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Tana Toraja,11.4,0.1,2.5,2.4,49.25,47,27.5
417,7322,7322,luwuutara,North Luwu,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Luwu Utara,21.3,2.8,8.2,3.9,45.13,34.7,23.6
418,7325,7325,luwutimur,East Luwu,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Luwu Timur,19.4,0.6,6.4,3.1,36.91,25.3,21.8
419,7326,7326,torajautara,North Toraja,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Toraja Utara,14.5,1,2,2.8,44.67,40.7,27.6
420,7371,7371,kotamakasar,Makassar City,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Kota Makassar,18.8,0.3,7.2,3.1,34.69,25.3,22.9
421,7372,7372,kotaparepare,Parepare City,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Kota Parepare,26.1,1.3,9.5,2.3,39.59,23.3,26.1
422,7373,7373,kotapalopo,Palopo City,73,Sulawesi Selatan,South Sulawesi,7,Sulawesi,Sulawesi,Kota Palopo,22.3,1,8.1,2.1,33.63,36,22.7
423,7401,7401,buton,Buton,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Buton,29.4,3,12.3,1.4,49.61,34.9,28.8
424,7402,7402,muna,Muna,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Muna,22.1,2,6.8,0.4,41.93,26.8,25
425,7403,7403,konawe,Konawe,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Konawe,21.9,2.7,9.6,3.9,45.09,29.4,25
426,7404,7404,kolaka,Kolaka,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Kolaka,23.7,5.2,9.3,4.8,47.05,28.7,29.7
427,7405,7405,konaweselatan,South Konawe,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Konawe Selatan,21.3,2.3,8.8,2.8,37.22,28,21.3
428,7406,7406,bombana,Bombana,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Bombana,25.2,2.3,10.7,1.5,45.16,33.9,24.7
429,7407,7407,wakatobi,Wakatobi,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Wakatobi,26.8,2.4,10.9,1.5,11.06,29.1,24.1
430,7408,7408,kolakautara,North Kolaka,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Kolaka Utara,20.6,2.8,10.2,3.2,45.73,30.6,23.6
431,7409,7409,butonutara,North Buton,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Buton Utara,29.9,3.4,10,1.9,44.29,37.1,30.5
432,7410,7410,konaweutara,North Konawe,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Konawe Utara,19.7,3,8,4.2,33.29,37.7,27
433,7411,7411,kolakatimur,East Kolaka,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Kolaka Timur,19.8,3.1,5.8,4.1,47.05,17.6,22
434,7412,7412,konawekepulauan,Konawe Islands,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Konawe Kepulauan,20.2,2.7,8,3.4,45.09,38.9,26.5
435,7413,7413,munabarat,West Muna,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Muna Barat,24.1,1.5,9.7,1.2,41.93,31.3,28.4
436,7414,7414,butontengah,Central Buton,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Buton Tengah,32.2,2,10.8,0.3,49.61,19.2,31.8
437,7415,7415,butonselatan,South Buton,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Buton Selatan,32.8,1.9,8.7,1.1,49.61,34.8,38.9
438,7471,7471,kotakendari,Kendari City,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Kota Kendari,20.1,1.7,7.4,3.4,40.37,22.7,24.4
439,7472,7472,kotabaubau,Baubau City,74,Sulawesi Tenggara,Southeast Sulawesi ,7,Sulawesi,Sulawesi,Kota Baubau,28.8,2.5,10,2.9,48.67,37.2,29.8
440,7501,7501,boalemo,Boalemo,75,Gorontalo,Gorontalo,7,Sulawesi,Sulawesi,Boalemo,17.8,1.1,8.7,1.8,39.37,44.8,8
441,7502,7502,gorontalo,Gorontalo,75,Gorontalo,Gorontalo,7,Sulawesi,Sulawesi,Gorontalo,25.2,1.5,9.4,3.2,42.62,34.6,28.3
442,7503,7503,pohuwato,Pohuwato,75,Gorontalo,Gorontalo,7,Sulawesi,Sulawesi,Pohuwato,18.2,1.3,7,2.2,37.14,23.6,18
443,7504,7504,bonebolango,Bone Bolango,75,Gorontalo,Gorontalo,7,Sulawesi,Sulawesi,Bone Bolango,22.6,1.7,9.6,2.2,46.28,29.1,23
444,7505,7505,gorontaloutara,North Gorontalo,75,Gorontalo,Gorontalo,7,Sulawesi,Sulawesi,Gorontalo Utara,27.1,3.2,11.4,4.8,31.31,33.3,25.6
445,7571,7571,kotagorontalo,Gorontalo City,75,Gorontalo,Gorontalo,7,Sulawesi,Sulawesi,Kota Gorontalo,27.6,3,8.8,1.8,33.03,27.4,31.2
446,7601,7601,majene,Majene,76,Sulawesi Barat,West Sulawesi,7,Sulawesi,Sulawesi,Majene,26.4,2.2,8.7,2.4,58.62,45.9,37.5
447,7602,7602,polewalimandar,Polewali Mandar,76,Sulawesi Barat,West Sulawesi,7,Sulawesi,Sulawesi,Polewali Mandar,26.5,0.6,8.5,0.8,48.48,38.2,31.5
448,7603,7603,mamasa,Mamasa,76,Sulawesi Barat,West Sulawesi,7,Sulawesi,Sulawesi,Mamasa,13.2,0.3,2,5.5,37.59,43.2,35.7
449,7604,7604,mamuju,Mamuju,76,Sulawesi Barat,West Sulawesi,7,Sulawesi,Sulawesi,Mamuju,27.1,1.6,7.4,1.1,47.26,46.5,38.7
450,7605,7605,mamujuutara,Pasangkayu,76,Sulawesi Barat,West Sulawesi,7,Sulawesi,Sulawesi,Mamuju Utara,31.7,1.2,10,1.3,47.82,34.8,36.7
451,7606,7606,mamujutengah,Central Mamuju,76,Sulawesi Barat,West Sulawesi,7,Sulawesi,Sulawesi,Mamuju Tengah,22.3,2.5,8.1,4.8,47.26,41.6,31.5
452,8101,8101,malukutenggarabarat,Tanimbar Islands,81,Maluku,Maluku,8,Maluku,Maluku,Maluku Tenggara Barat,39.4,8.5,18.2,1.4,33.45,28.8,29.5
453,8102,8102,malukutenggara,Southeast Maluku,81,Maluku,Maluku,8,Maluku,Maluku,Maluku Tenggara,24.6,2,7.9,1.6,37.97,31.1,28.1
454,8103,8103,malukutengah,Central Maluku,81,Maluku,Maluku,8,Maluku,Maluku,Maluku Tengah,24,2.9,13.1,2.4,42.15,42.8,27
455,8104,8104,buru,Buru,81,Maluku,Maluku,8,Maluku,Maluku,Buru,26.5,2.5,10.6,3,45.72,27,25.4
456,8105,8105,kepulauanaru,Aru Islands,81,Maluku,Maluku,8,Maluku,Maluku,Kepulauan Aru,40.5,4.5,14.3,1.6,47.57,36,37.6
457,8106,8106,serambagianbarat,West Seram,81,Maluku,Maluku,8,Maluku,Maluku,Seram Bagian Barat,28.9,6.8,13.5,4,59.86,33.6,33.8
458,8107,8107,serambagiantimur,East Seram,81,Maluku,Maluku,8,Maluku,Maluku,Seram Bagian Timur,29.6,2.1,7.6,2.4,45.3,40.6,35
459,8108,8108,malukubaratdaya,Southwest Maluku,81,Maluku,Maluku,8,Maluku,Maluku,Maluku Barat Daya,30.7,3.2,14.7,0.9,30.63,31.1,23.8
460,8109,8109,buruselatan,South Buru,81,Maluku,Maluku,8,Maluku,Maluku,Buru Selatan,31.8,2.6,7.8,3.2,52.57,26.8,39.7
461,8171,8171,kotaambon,Ambon City,81,Maluku,Maluku,8,Maluku,Maluku,Kota Ambon,23.6,2.3,8.8,1.3,28.93,31.3,19.7
462,8172,8172,kotatual,Tual City,81,Maluku,Maluku,8,Maluku,Maluku,Kota Tual,22.7,2.8,11.2,2,46.68,31,25.2
463,8201,8201,halmaherabarat,West Halmahera,82,Maluku Utara,North Maluku ,8,Maluku,Maluku,Halmahera Barat,24.8,4.2,9.4,2.6,45.79,35.3,22.1
464,8202,8202,halmaheratengah,Central Halmahera,82,Maluku Utara,North Maluku ,8,Maluku,Maluku,Halmahera Tengah,17.9,1.5,7,2.3,42.5,41.4,19.7
465,8203,8203,kepulauansula,Sula Islands,82,Maluku Utara,North Maluku ,8,Maluku,Maluku,Kepulauan Sula,23.1,3.7,12.3,2.3,50.1,38.6,22.5
